ptm_type	sites_total	sites_hotspot	sites_idr_nonhot	hotspot_fraction	odds_ratio_hot_vs_idr_nonhot	CI_low	CI_high	p_value	hotspot_residues	idr_nonhot_residues	total_residues_considered	q_value
ACETYLATION	749	139	610	0.1855807743658211	6.028307685586658	5.006891228583904	7.258095271700428	1.931223671812136e-55	7644	199156	206800	1.029985958299806e-54
All	12815	2395	10420	0.186890362856028	15.584716914295033	14.872732316513067	16.330785502610183	0.0	20617	1245961	1266578	0.0
C-GLYCOSYLATION	8	0	8	0.0	216.41176470588235	4.053947392935888	11552.7034180867	1.0	0	1847	1847	1.0
CARBOXYLATION	0	0	0		71.0	0.5771940416792408	8733.63138908041	1.0	0	35	35	1.0
DIHYDROXYLATION	1	1	0	1.0	27.78787878787879	1.116868467800822	691.3671840429728	0.0984251968503936	50	458	508	0.2249718785151855
FARNESYLATION	1	0	1	0.0	25.666666666666668	0.3676376016019878	1791.921650307643	1.0	0	39	39	1.0
METHYLATION	988	127	861	0.1285425101214574	5.493339858036645	4.554008586636761	6.626422023982242	4.3483240072686575e-48	8771	322783	331554	1.739329602907463e-47
MYRISTOYLATION	13	0	13	0.0	1.3747393506106642	0.0814144131818985	23.21343615036494	1.0	186	6935	7121	1.0
N-GLYCOSYLATION	644	6	638	0.0093167701863354	0.4293973323816746	0.1920644151955924	0.9600011999553864	0.0284457794677207	3871	177111	180982	0.075855411913922
N-PHOSPHORYLATION	0	0	0		271.0	2.2214656660003387	33059.705186543666	1.0	0	135	135	1.0
O-GLYCOSYLATION	2120	121	1999	0.0570754716981132	2.497058158996181	2.076289121378994	3.00309787553486	8.741915082978448e-18	10443	427813	438256	2.7974128265531026e-17
PHOSPHORYLATION	8534	2057	6477	0.2410358565737052	13.219409560958974	12.55206917987388	13.922229605025915	0.0	19728	742028	761756	0.0
S-GLYCOSYLATION	0	0	0		181.0	1.4815344758749287	22112.883995259595	1.0	0	90	90	1.0
S-NITROSYLATION	45	4	41	0.0888888888888888	1.6297640653357532	0.5827161868732028	4.558189678773565	0.3215828781498179	1106	18450	19556	0.5145326050397088
SUMOYLATION	6	1	5	0.1666666666666666	3.1861386138613863	0.3687428627313264	27.5299681505568	0.3080462975344339	102	1614	1716	0.5145326050397088
UBIQUITINATION	93	14	79	0.1505376344086021	1.4901320266775555	0.8422935298934218	2.6362466030234444	0.1755237980892553	1781	14937	16718	0.3510475961785106
