motif_name	a_hot_motif	b_hot_not	c_idr_nonhot_motif	d_idr_nonhot_not	OR	logOR	SE	CI_low	CI_high	p_value	q_value
CLV_C14_Caspase3-7	390	20227	14081	1231880	1.6868172686987986	0.5228434803875434	0.0518205642937661	1.523903559923072	1.8671473528968665	9.652808414943218e-21	7.572091934388791e-20
CLV_MEL_PAP_1	23	20594	1172	1244789	1.186192729516964	0.1707487911817899	0.210667663327251	0.7849307128821372	1.792582668083449	0.4213956785333537	0.6071537735603014
CLV_NRD_NRD_1	752	19865	26982	1218979	1.710217543393818	0.5366205807819572	0.037656462011102	1.588537712252177	1.8412178843303864	8.099871288993123e-40	1.1437018260058287e-38
CLV_PCSK_FUR_1	126	20491	4088	1241873	1.867986312734692	0.6248610125499844	0.090723389928751	1.5636817992982823	2.2315108266464705	3.3239624675385377e-10	1.5238425338196151e-09
CLV_PCSK_KEX2_1	784	19833	25437	1220524	1.8967412291343253	0.6401372710705254	0.0369602942606349	1.7641960560949987	2.0392446054217155	1.7752643725699906e-56	3.298254334301088e-55
CLV_PCSK_PC1ET2_1	314	20303	12003	1233958	1.589937326615825	0.4636945982325094	0.0576028652604505	1.4201932903607226	1.77996947297519	5.788257376004008e-14	3.19258570895221e-13
CLV_PCSK_PC7_1	166	20451	4865	1241096	2.070694693851993	0.7278841518705763	0.0792423455941016	1.7728158434697123	2.418624884779271	1.3538570507445163e-16	9.01719884741159e-16
CLV_PCSK_SKI1_1	690	19927	56618	1189343	0.7273773388874905	-0.3183099004923557	0.038961026151595	0.6739000237755185	0.7850983446519171	1.1439065796792878e-17	8.240796380138544e-17
CLV_Separin_Fungi	0	20617	13	1245948	2.2382073840543586	0.805675270500252	1.440181717409723	0.1330432659691559	37.65370804409482	1.0	1.0
CLV_Separin_Metazoa	15	20602	1863	1244098	0.486209693694826	-0.7211152796295415	0.2593314059102274	0.2924665917087991	0.8082969916721061	0.0025032113113571	0.0058578064598905
CLV_TASPASE1	7	20610	33	1245928	12.823277902753883	2.551262105452534	0.4161844493858784	5.671993167662577	28.99094750479402	3.5196539585800173e-06	1.307829313030259e-05
DEG_APCC_DBOX_1	133	20484	14937	1231024	0.5351062367953345	-0.6252899783500048	0.0873806372263004	0.450879108592305	0.6350675362876005	2.7799577229734376e-15	1.6632628410332602e-14
DEG_APCC_KENBOX_2	10	20607	1469	1244492	0.4111076348150184	-0.8889002135771522	0.3173800024170185	0.2206968986140611	0.7657991048562499	0.0018994414590735	0.0045612437758704
DEG_APCC_TPR_1	0	20617	42	1245919	0.710943444675069	-0.3411623956969699	1.4225254714311908	0.0437478714601238	11.553489682056	1.0	1.0
DEG_Cend_DCAF12_1	0	20617	49	1245912	0.6104025583836424	-0.493636607697537	1.4213554535415676	0.03764732800268	9.896885198725714	1.0	1.0
DEG_Cend_FEM1AC_1	0	20617	100	1245861	0.3006337296179464	-1.2018626003135375	1.417744530548226	0.0186736492445539	4.840009480758321	0.4167752640646934	0.6045790804995528
DEG_Cend_FEM1B_2	0	20617	42	1245919	0.710943444675069	-0.3411623956969699	1.4225254714311908	0.0437478714601238	11.553489682056	1.0	1.0
DEG_Cend_KLHDC2_1	5	20612	41	1245920	7.371505114236083	1.9976219070924903	0.4737505271238186	2.9126720028769064	18.6560957071503	0.0008986275247313	0.0022821260160443
DEG_Cend_TRIM7_1	0	20617	41	1245920	0.7280751963839351	-0.3173509443835005	1.4227247417007092	0.0447845780797297	11.836518603475133	1.0	1.0
DEG_COP1_1	19	20598	1403	1244558	0.8182500055192232	-0.200587358855692	0.2310707450612176	0.520229083526126	1.286996618862784	0.4619848729385379	0.6575833070455802
DEG_CRBN_cyclicCter_1	16	20601	765	1245196	1.2641772259929005	0.2344214963335221	0.2526985040752129	0.770382933397909	2.0744800922188267	0.3215183990111954	0.4809152324192881
DEG_CRL4_CDT2_1	0	20617	37	1245924	0.8057391374641284	-0.2159952396506514	1.4236277504211807	0.0494741172263086	13.122327270070148	1.0	1.0
DEG_CRL4_CDT2_2	0	20617	31	1245930	0.9592178781702244	-0.0416370368163572	1.425410585355943	0.0586925906512587	15.67657735996792	1.0	1.0
DEG_Kelch_actinfilin_1	0	20617	13	1245948	2.2382073840543586	0.805675270500252	1.440181717409723	0.1330432659691559	37.65370804409482	1.0	1.0
DEG_Kelch_Keap1_1	18	20599	287	1245674	3.792703309402557	1.3330790390838512	0.2430827532697998	2.35522636218994	6.107522667068826	3.7393410369608993e-06	1.3608117381929867e-05
DEG_Kelch_Keap1_2	0	20617	0	1245961	60.43222990178246	4.101522570268241	2.0000123262317087	1.1990126313021832	3045.8848518848336	1.0	1.0
DEG_Kelch_KLHL12_1	0	20617	50	1245911	0.5983148987870777	-0.5136380770291111	1.4212147217465063	0.0369119869294068	9.698224015824968	1.0	1.0
DEG_Kelch_KLHL3_1	0	20617	6	1245955	4.648610683605227	1.5365683972370037	1.4676155691899662	0.2618566353319901	82.52447473913097	1.0	1.0
DEG_MDM2_SWIB_1	8	20609	1453	1244508	0.3324797093005258	-1.1011764454083814	0.3545949199668036	0.1659311246382124	0.6661966363307897	0.0003753223501397	0.0010432188157429
DEG_Nend_Nbox_1	9	20608	657	1245304	0.8277833319152557	-0.1890038352709791	0.3356821547056466	0.4287244566968215	1.59828821027882	0.7578649352187672	0.9835526548978856
DEG_Nend_UBRbox_1	0	20617	672	1245289	0.0449067927370682	-3.103166209772961	1.4147566201857689	0.0028057365625402	0.7187488878514735	4.063340388626364e-05	0.0001340522576808
DEG_Nend_UBRbox_2	9	20608	1096	1244865	0.4960419045682776	-0.7010948708091789	0.3347728304610634	0.257367663661411	0.9560547257072428	0.031192206419466	0.0611713825892862
DEG_Nend_UBRbox_3	0	20617	385	1245576	0.0783574013550814	-2.54647484935665	1.415147815264994	0.0048919486043366	1.2550995203993651	0.0037159920265426	0.0084628721636745
DEG_Nend_UBRbox_4	0	20617	56	1245905	0.5347744580759322	-0.6259101946631475	1.4204747164800549	0.0330398576430163	8.655718922894795	1.0	1.0
DEG_ODPH_VHL_1	32	20585	1251	1244710	1.5467138555368969	0.4361325871500395	0.1791612206198751	1.0886915852852352	2.197430184309753	0.0197406986136847	0.0399045104038609
DEG_SCF_COI1_1	0	20617	0	1245961	60.43222990178246	4.101522570268241	2.0000123262317087	1.1990126313021832	3045.8848518848336	1.0	1.0
DEG_SCF_FBW7_1	172	20445	3587	1242374	2.913817245681414	1.0694639898424598	0.0783738133110038	2.4989017010196544	3.3976250197300755	5.440901941642251e-32	6.859422804998981e-31
DEG_SCF_FBW7_2	19	20598	1109	1244852	1.0354156439326183	0.0348029344430109	0.231479251583497	0.6577723378331168	1.629873276872883	0.8138668976709693	1.0
DEG_SCF_FBXO31_1	0	20617	7	1245954	4.028792692292146	1.393466750999126	1.4606103650243665	0.2300796870916022	70.54586505502522	1.0	1.0
DEG_SCF_SKP2-CKS1_1	8	20609	195	1245766	2.479904348486036	0.9082199902742252	0.3608012338356799	1.222685381227329	5.029851237336843	0.0189638318781135	0.0386949864333761
DEG_SCF_TIR1_1	0	20617	0	1245961	60.43222990178246	4.101522570268241	2.0000123262317087	1.1990126313021832	3045.8848518848336	1.0	1.0
DEG_SCF_TRCP1_1	33	20584	769	1245192	2.595937001077004	0.9539475308574724	0.1779123518239557	1.8316905189593924	3.679054318296697	2.022687330097202e-06	7.595836463024599e-06
DEG_SIAH_1	9	20608	250	1245711	2.1761255822981367	0.7775460397815844	0.3393529706813284	1.11897626393019	4.232013405985743	0.0416192643406664	0.0802819689194276
DEG_SPOP_SBC_1	136	20481	5042	1240919	1.634287066034113	0.4912066640147718	0.087183179376636	1.377579029981443	1.938831933469812	1.4710389970468093e-07	6.181866261399091e-07
DOC_AGCK_PIF_1	12	20605	235	1245726	3.0871895377593748	1.1272611423262833	0.2960371381038956	1.7281100447224909	5.515122877247923	0.0008448622696789	0.0021769078919465
DOC_AGCK_PIF_2	6	20611	161	1245800	2.252551025789461	0.8120633632024769	0.4158451241384458	0.997011394689802	5.089195721141996	0.0566805775502955	0.1036696573847375
DOC_AGCK_PIF_3	4	20613	18	1245943	13.432116733237386	2.5976486104192347	0.5528154043030672	4.54546675163206	39.69268059667027	0.00040598069327	0.0011196186306588
DOC_ANK_TNKS_1	114	20503	2518	1243443	2.745728525673048	1.0100464407226737	0.0960137905781249	2.274725557794448	3.314257014813012	5.53956739568807e-20	4.2510158492997583e-19
DOC_CDC14_PxL_1	35	20582	4409	1241552	0.4788563881984577	-0.7363545423945931	0.1698458976789	0.3432650115050301	0.6680070290680119	1.3405139793582823e-06	5.143493855581236e-06
DOC_CKS1_1	436	20181	11594	1234367	2.300142875512065	0.8329712407936043	0.0492969692910431	2.0882975840942524	2.533478603847356	4.681739411172777e-51	8.263270060719952e-50
DOC_CYCLIN_D_Helix_1	3	20614	286	1245675	0.6338663519462976	-0.4559171481131717	0.5804129136471006	0.2032077429649161	1.9772206819849192	0.6386535485585496	0.8604759642792672
DOC_CYCLIN_RevRxL_6	494	20123	17374	1228587	1.735962423246224	0.551561970408396	0.0461774521839028	1.585744739435455	1.9004102362627224	2.7239556628788036e-28	2.828106908812405e-27
DOC_CYCLIN_RxL_1	157	20460	17545	1228416	0.5372619882346944	-0.62126942963738	0.0804742999884846	0.4588650790234055	0.6290529770019252	1.4982512406356534e-17	1.0370248783223248e-16
DOC_CYCLIN_yClb1_LxF_4	0	20617	573	1245388	0.0526629799280264	-2.943842538440076	1.4148473361501146	0.003289751275238	0.8430392521693153	0.0001769318586463	0.0005292961534082
DOC_CYCLIN_yClb3_PxF_3	9	20608	302	1245659	1.8013532647258443	0.5885381961683198	0.3383366622491556	0.9281131155756552	3.49620485895822	0.1078907681806165	0.1831030825372964
DOC_CYCLIN_yClb5_NLxxxL_5	9	20608	2166	1243795	0.2507823791099602	-1.3831697314238476	0.3340989680677346	0.1302885453112404	0.4827116729395701	2.498451322627882e-07	1.0022196782814118e-06
DOC_CYCLIN_yCln2_LP_2	101	20516	8985	1236976	0.6777536660448682	-0.3889713814776474	0.1003087113490481	0.5567848074961833	0.8250046079793718	4.436317304500856e-05	0.0001436715604118
DOC_GSK3_Axin_1	0	20617	1	1245960	20.14406046643224	3.002909479006791	1.6330082583214578	0.8205448506983131	494.5289361452236	1.0	1.0
DOC_MAPK_DCC_7	50	20567	5101	1240860	0.5913798431216819	-0.525296755469463	0.1422865681050118	0.4474553919830655	0.7815977304478678	8.466349381415267e-05	0.0002668411903249
DOC_MAPK_FxFP_2	8	20609	693	1245268	0.697529631102342	-0.3602102843217883	0.3556575979410025	0.3473927911388276	1.400569035041754	0.3709583884234542	0.5502029878717618
DOC_MAPK_gen_1	746	19871	46915	1199046	0.9594961314825718	-0.0413469953480632	0.0375893110887389	0.8913464938836985	1.032856282766894	0.2763816931885094	0.4223495138335231
DOC_MAPK_GRA24_9	0	20617	7	1245954	4.028792692292146	1.393466750999126	1.4606103650243665	0.2300796870916022	70.54586505502522	1.0	1.0
DOC_MAPK_HePTP_8	221	20396	4213	1241748	3.1936644237592	1.1611689797018308	0.0693691715843362	2.7876679982384878	3.658790235433412	2.9981639720349583e-46	4.6015299222971315e-45
DOC_MAPK_JIP1_4	19	20598	1116	1244845	1.0289153155767985	0.028505155677896	0.2314670343929313	0.6536585022390407	1.619602166884004	0.8149408870143181	1.0
DOC_MAPK_MEF2A_6	446	20171	37620	1208341	0.7101958820927429	-0.3422144567260297	0.0481574270179724	0.6462279241398778	0.7804958159504031	7.70441194497419e-14	4.120693055418013e-13
DOC_MAPK_NFAT4_5	4	20613	3980	1241981	0.060555091959092	-2.804201717405834	0.5003004842302043	0.0227136170001165	0.1614414455502741	6.231345193277932e-23	5.115499658667699e-22
DOC_MAPK_RevD_3	28	20589	5621	1240340	0.3000889072118755	-1.2036764908581896	0.1895826095845437	0.2069540676719226	0.4351369037808729	7.332360033407475e-15	4.243152609496456e-14
DOC_MIT_MIM_1	0	20617	406	1245555	0.0743081646895043	-2.599534445146232	1.4151004663770796	0.0046395803472121	1.190129909667453	0.0025057472392166	0.0058578064598905
DOC_PIKK_1	0	20617	485	1245476	0.0622128797077163	-2.777193231416993	1.4149590233028362	0.0038854638114935	0.996133946757575	0.0008392086902907	0.0021769078919465
DOC_PP1_MyPhoNE_1	0	20617	20	1245941	1.4739331671235956	0.3879344515747497	1.4313733939460145	0.0891390828347267	24.37178970278389	1.0	1.0
DOC_PP1_RVXF_1	110	20507	16372	1229589	0.4028550267336744	-0.9091785169078384	0.0959247939796158	0.3338073953029272	0.4861850721351181	2.2656566786358504e-28	2.4235660835104705e-27
DOC_PP1_SILK_1	12	20605	416	1245545	1.743711851119034	0.556016088853762	0.2928933496314113	0.9821071363520688	3.0959260015426557	0.0798206043756107	0.1423064310332858
DOC_PP2A_B56_1	184	20433	19725	1226236	0.5598126889967812	-0.5801530351394898	0.0743991642211284	0.4838523905356745	0.647698043642714	1.1900450151229e-17	8.401717806767673e-17
DOC_PP2B_LxvP_1	32	20585	1549	1244412	1.248854605124197	0.2222268153395194	0.1787315317646201	0.8797768467386079	1.7727652535089975	0.23098079432567	0.3623832017642734
DOC_PP2B_PxIxIT_1	149	20468	8735	1237226	1.031090982738325	0.0306174482201582	0.0829189747695566	0.8764253536833025	1.2130509577527069	0.7048429400512979	0.9227489392672592
DOC_PP4_FxxP_1	182	20435	10218	1235743	1.0771073925828247	0.0742791077646679	0.0751140258803729	0.9296525331093108	1.2479504910036714	0.3118280636785379	0.4684055594830803
DOC_PP4_MxPP_1	1	20616	554	1245407	0.1090428344883718	-2.2160144969906748	1.0009267521236165	0.0153317270975949	0.775538181547964	0.0021146253503487	0.0050436672207643
DOC_PUB_PIM_1	32	20585	919	1245042	2.106044763042276	0.7448116684917283	0.17996533424526	1.4800555389226515	2.9967960169700043	0.0001582769747872	0.0004858414965208
DOC_RSK_DDVF_1	0	20617	221	1245740	0.1363916723531178	-1.9922245885662284	1.4158262527257306	0.0085037839504081	2.187577717844928	0.0560778707937246	0.1036413004721716
DOC_SPAK_OSR1_1	14	20603	1045	1244916	0.8095083472537445	-0.2113281943008796	0.2691372310096518	0.4776690419858006	1.3718782392704632	0.5420941198694735	0.7533827728894652
DOC_TBK1_STING_1	0	20617	4	1245957	6.714670654648828	1.9042947825547976	1.4907285223351598	0.3614855822797935	124.72641845368123	1.0	1.0
DOC_USP7_MATH_1	1028	19589	44453	1201508	1.418425204207458	0.349547245083789	0.0323595374050425	1.3312555929847956	1.5113026157659477	7.8876703041689485e-25	6.791091749686926e-24
DOC_USP7_MATH_2	79	20538	2134	1243827	2.241994312688766	0.8073657879334438	0.1147881771462318	1.7902959846332611	2.807657807018122	3.701820922229719e-10	1.675311263521911e-09
DOC_USP7_UBL2_3	474	20143	25069	1220892	1.1460258838165864	0.1363002042648706	0.0469047828740496	1.0453657559070182	1.2563787544752982	0.0043911513164982	0.0098730981829546
