accession	W	M	obs_hotspots	obs_idr_hotspots	empirical_p_idr_enrichment
A0A024R1R8	15	2	0	0	1.0
A0A024RBG1	15	2	0	0	1.0
A0A075B6H7	15	2	0	0	1.0
A0A075B6H8	15	2	0	0	1.0
A0A075B6H9	15	2	0	0	1.0
A0A075B6I0	15	2	0	0	1.0
A0A075B6I1	15	2	0	0	1.0
A0A075B6I3	15	2	0	0	1.0
A0A075B6I4	15	2	0	0	1.0
A0A075B6I6	15	2	0	0	1.0
A0A075B6I7	15	2	0	0	1.0
A0A075B6I9	15	2	0	0	1.0
A0A075B6J1	15	2	0	0	1.0
A0A075B6J2	15	2	0	0	1.0
A0A075B6J6	15	2	0	0	1.0
A0A075B6J9	15	2	0	0	1.0
A0A075B6K0	15	2	0	0	1.0
A0A075B6K2	15	2	0	0	1.0
A0A075B6K4	15	2	0	0	1.0
A0A075B6K5	15	2	0	0	1.0
A0A075B6K6	15	2	0	0	1.0
A0A075B6L2	15	2	0	0	1.0
A0A075B6L6	15	2	0	0	1.0
A0A075B6N1	15	2	0	0	1.0
A0A075B6N2	15	2	0	0	1.0
A0A075B6N3	15	2	0	0	1.0
A0A075B6N4	15	2	0	0	1.0
A0A075B6P5	15	2	0	0	1.0
A0A075B6Q5	15	2	0	0	1.0
A0A075B6R0	15	2	0	0	1.0
A0A075B6R2	15	2	0	0	1.0
A0A075B6R9	15	2	0	0	1.0
A0A075B6S0	15	2	0	0	1.0
A0A075B6S2	15	2	0	0	1.0
A0A075B6S4	15	2	0	0	1.0
A0A075B6S5	15	2	0	0	1.0
A0A075B6S6	15	2	0	0	1.0
A0A075B6S9	15	2	0	0	1.0
A0A075B6T6	15	2	0	0	1.0
A0A075B6T7	15	2	0	0	1.0
A0A075B6T8	15	2	0	0	1.0
A0A075B6U4	15	2	0	0	1.0
A0A075B6V5	15	2	0	0	1.0
A0A075B6W5	15	2	0	0	1.0
A0A075B6X5	15	2	0	0	1.0
A0A075B6Y3	15	2	0	0	1.0
A0A075B6Y9	15	2	0	0	1.0
A0A075B700	15	2	0	0	1.0
A0A075B706	15	2	0	0	1.0
A0A075B734	15	2	0	0	1.0
A0A075B759	15	2	0	0	1.0
A0A075B767	15	2	0	0	1.0
A0A087WSX0	15	2	0	0	1.0
A0A087WSY4	15	2	0	0	1.0
A0A087WSY6	15	2	0	0	1.0
A0A087WSZ0	15	2	0	0	1.0
A0A087WSZ9	15	2	0	0	1.0
A0A087WT01	15	2	0	0	1.0
A0A087WT02	15	2	0	0	1.0
A0A087WT03	15	2	0	0	1.0
A0A087WTH1	15	2	0	0	1.0
A0A087WUL8	15	2	0	0	1.0
A0A087WUV0	15	2	0	0	1.0
A0A087WV53	15	2	0	0	1.0
A0A087WV62	15	2	0	0	1.0
A0A087WVF3	15	2	0	0	1.0
A0A087WW87	15	2	0	0	1.0
A0A087WWA1	15	2	0	0	1.0
A0A087WXM9	15	2	0	0	1.0
A0A087WXS9	15	2	0	0	1.0
A0A087X0K7	15	2	0	0	1.0
A0A087X0M5	15	2	0	0	1.0
A0A087X179	15	2	0	0	1.0
A0A087X1C5	15	2	0	0	1.0
A0A087X1G2	15	2	0	0	1.0
A0A096LNP1	15	2	0	0	1.0
A0A096LNW5	15	2	0	0	1.0
A0A096LP01	15	2	0	0	1.0
A0A096LP49	15	2	0	0	1.0
A0A096LP55	15	2	0	0	1.0
A0A0A0MS03	15	2	0	0	1.0
A0A0A0MS04	15	2	0	0	1.0
A0A0A0MS05	15	2	0	0	1.0
A0A0A0MS06	15	2	0	0	1.0
A0A0A0MS14	15	2	0	0	1.0
A0A0A0MS15	15	2	0	0	1.0
