accession	W	M	start	end	count	idr_frac	p_window_meet	q_window_meet_global	ptm_count	is_candidate_window	is_idr_localized	region_label	is_significant_q10
A6ND36	15	2	600	614	2	0.0666666666666666	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
A6ND36	15	2	601	615	2	0.0666666666666666	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
A6ND36	15	2	602	616	3	0.1333333333333333	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	603	617	3	0.1333333333333333	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	604	618	3	0.1333333333333333	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	605	619	3	0.1333333333333333	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	606	620	3	0.2	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	607	621	3	0.2	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	608	622	3	0.2	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	609	623	3	0.2	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	610	624	3	0.2	0.0009990009990009	0.0179065416756418	3	True	False	ORD	True
A6ND36	15	2	611	625	2	0.2	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
A6ND36	15	2	612	626	2	0.1333333333333333	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
A6ND36	15	2	613	627	2	0.1333333333333333	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
A6ND36	15	2	614	628	2	0.1333333333333333	0.0009990009990009	0.0179065416756418	2	True	False	ORD	True
B2RUZ4	15	2	3	17	2	0.0	0.1798201798201798	0.2437036647562963	2	True	False	ORD	False
B2RUZ4	15	2	4	18	2	0.0	0.1768231768231768	0.2400579552897433	2	True	False	ORD	False
B2RUZ4	15	2	5	19	2	0.0666666666666666	0.1498501498501498	0.2093064704693996	2	True	False	ORD	False
B2RUZ4	15	2	6	20	2	0.0666666666666666	0.1538461538461538	0.2135319488898664	2	True	False	ORD	False
B2RUZ4	15	2	8	22	2	0.1333333333333333	0.1258741258741259	0.1830967324216153	2	True	False	ORD	False
B2RUZ4	15	2	9	23	2	0.1333333333333333	0.1268731268731268	0.1842579320397602	2	True	False	ORD	False
B2RUZ4	15	2	10	24	2	0.1333333333333333	0.1288711288711288	0.1867870597277516	2	True	False	ORD	False
B2RUZ4	15	2	11	25	2	0.1333333333333333	0.1288711288711288	0.1867870597277516	2	True	False	ORD	False
B2RUZ4	15	2	12	26	2	0.1333333333333333	0.1198801198801198	0.1757947587519085	2	True	False	ORD	False
B2RUZ4	15	2	13	27	3	0.1333333333333333	0.1188811188811188	0.1745722807688173	3	True	False	ORD	False
B2RUZ4	15	2	14	28	3	0.1333333333333333	0.1288711288711288	0.1867870597277516	3	True	False	ORD	False
B2RUZ4	15	2	15	29	3	0.1333333333333333	0.1298701298701298	0.1879383039001982	3	True	False	ORD	False
B2RUZ4	15	2	16	30	3	0.1333333333333333	0.1238761238761238	0.1807257897909455	3	True	False	ORD	False
B2RUZ4	15	2	17	31	3	0.1333333333333333	0.1228771228771228	0.1795536643287508	3	True	False	ORD	False
B2RUZ4	15	2	18	32	2	0.1333333333333333	0.1178821178821178	0.1733705453145447	2	True	False	ORD	False
B2RUZ4	15	2	19	33	2	0.1333333333333333	0.1268731268731268	0.1842579320397602	2	True	False	ORD	False
B2RUZ4	15	2	20	34	2	0.0666666666666666	0.1478521478521478	0.2071048229997414	2	True	False	ORD	False
B2RUZ4	15	2	21	35	2	0.0666666666666666	0.1378621378621378	0.1966465608970506	2	True	False	ORD	False
B2RUZ4	15	2	22	36	2	0.0	0.1588411588411588	0.2189107152882363	2	True	False	ORD	False
C9JLW8	15	2	16	30	2	0.2	0.0429570429570429	0.0807476152441878	2	True	False	ORD	True
C9JLW8	15	2	17	31	2	0.2	0.0449550449550449	0.083367800300876	2	True	False	ORD	True
C9JLW8	15	2	18	32	2	0.2	0.0429570429570429	0.0807476152441878	2	True	False	ORD	True
C9JLW8	15	2	19	33	2	0.2	0.0429570429570429	0.0807476152441878	2	True	False	ORD	True
C9JLW8	15	2	20	34	2	0.2	0.0359640359640359	0.0712498235485662	2	True	False	ORD	True
C9JLW8	15	2	21	35	2	0.2	0.0349650349650349	0.0697681641737585	2	True	False	ORD	True
O00141	15	2	387	401	2	0.1333333333333333	0.0179820179820179	0.0450243459848582	2	True	False	ORD	True
O00141	15	2	388	402	2	0.1333333333333333	0.0139860139860139	0.0393490586695117	2	True	False	ORD	True
O00141	15	2	389	403	2	0.0666666666666666	0.0149850149850149	0.0407795581142661	2	True	False	ORD	True
O00141	15	2	390	404	2	0.0666666666666666	0.0139860139860139	0.0393490586695117	2	True	False	ORD	True
O00141	15	2	391	405	2	0.0666666666666666	0.0139860139860139	0.0393490586695117	2	True	False	ORD	True
O00141	15	2	392	406	2	0.0666666666666666	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00141	15	2	393	407	2	0.0666666666666666	0.0159840159840159	0.0422036385522692	2	True	False	ORD	True
O00141	15	2	394	408	2	0.0666666666666666	0.0199800199800199	0.0480170864873801	2	True	False	ORD	True
O00141	15	2	395	409	2	0.0666666666666666	0.0209790209790209	0.0496661092019316	2	True	False	ORD	True
O00141	15	2	396	410	2	0.0666666666666666	0.0209790209790209	0.0496661092019316	2	True	False	ORD	True
O00141	15	2	397	411	2	0.0666666666666666	0.0209790209790209	0.0496661092019316	2	True	False	ORD	True
O00267	15	2	668	682	2	0.1333333333333333	0.0149850149850149	0.0407795581142661	2	True	False	ORD	True
O00267	15	2	669	683	2	0.1333333333333333	0.0139860139860139	0.0393490586695117	2	True	False	ORD	True
O00267	15	2	670	684	2	0.1333333333333333	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00267	15	2	671	685	2	0.0666666666666666	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00267	15	2	672	686	2	0.0666666666666666	0.0109890109890109	0.034965787678265	2	True	False	ORD	True
O00267	15	2	673	687	2	0.0666666666666666	0.0109890109890109	0.034965787678265	2	True	False	ORD	True
O00267	15	2	674	688	2	0.0666666666666666	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00267	15	2	675	689	2	0.0666666666666666	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00267	15	2	676	690	2	0.0666666666666666	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
O00267	15	2	677	691	2	0.0	0.0129870129870129	0.0378392133601185	2	True	False	ORD	True
